"RegionName","City","State","Metro","CountyName","SizeRank","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"77494","Katy","TX","Houston","Harris",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777453838678329,0.797660196756182,0.797660196756182,0.825748806361605,0.841623946068766,0.821880153930731,0.796181091755574,0.794547255059726,0.809364482023767,0.846755637367694,0.80091533180778,0.861803631886734,0.846755637367694,0.784210526315789,0.822490194583513,0.815494393476045,0.833635375135919,0.837496326770497,0.815553779901436
"77479","Sugar Land","TX","Houston","Fort Bend",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773016056035375,0.807228915662651,0.800533689126084,0.806451612903226,0.798272979532367,0.793408605431797,0.805599217108529,0.800533689126084,0.797777694078406,0.794659036512468,0.800533689126084,0.815448968357311,0.800266844563042,0.789322363645372,0.786203398427593,0.796971147278941,0.81020321264919,0.790792972666638
"02155","Medford","MA","Boston","Middlesex",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02459016393443,1.00900763446032,1.11301369863014,1.07257776188774,1.0754579262975,0.994791666666667,1.00692259282568,1.04625550660793,0.992779783393502,0.955414012738854,1.027429147549,1.07438016528926,1.06031783594859,1.06918238993711,1.0282014552009,0.962985341496829,0.968109339407745
"06511","New Haven","CT","New Haven","New Haven",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374330121034199,0.425524674427582,0.432616675406397,0.436250377504545,0.396243029057822,0.391859890226369,0.375822110867523,0.389254385964912,0.409962916473818,0.404970813738586,0.404970813738586,0.404970813738586,0.444312796208531,0.499803998431987,0.480030721966206,0.479105669417088,0.46980854197349,0.450229486311961
"92880","Eastvale","CA","Riverside","Riverside",5,0.672193591754425,0.692447600900745,0.698324022346369,0.713795241317231,0.695704779189353,0.711958475463137,0.708174472647135,0.720043845085728,0.707290533188248,0.699558173784978,0.702007375403561,0.709639266706091,0.693877551020408,0.689958896065766,0.695284159613059,0.683229813664596,0.678794461037198,0.699810861929208,0.714285714285714,0.697916666666667,0.699889062658936,0.688136526286815,0.689902185339726,0.687379708551004,0.690401819628031,0.693877551020408,0.692425497378998,0.69104762654801,0.701096746602289,0.69697794718214,0.714109825166215,0.7125460249474,0.715636390548967,0.710184345723784,0.709401709401709,0.708026058921471,0.736260846699974,0.720649895178197,0.72842096093385,0.725532571781414,0.753483082172306,0.71078431372549,0.751325336868617,0.741399762752076,0.725733293014817,0.722661576220344,0.72108843537415,0.742130572237219,0.753701734089772,0.749923477196204,0.745033112582781,0.742472283620926,0.729108244531688,0.788117611397393,0.759526938239159,0.766145640768513,0.794199538218213,0.744313446710373,0.766156557331909,0.772960956371852,0.763262349036594,0.784938627291493,0.7953181272509,0.814393685066227,0.811525514125523,0.798860398860399,0.787983255355824,0.788866930171278,0.815341985764743,0.785854616895874,0.782122905027933,0.8,0.811525514125523,0.813053132426935,0.812607732085693,0.81401766004415,0.834442106361247,0.818452380952381
"33178","Doral","FL","Miami-Fort Lauderdale","Miami-Dade",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31028833551769,1.2559006485672,1.26375137513751,1.28040973111396,1.28247812363405,1.30431543847708,1.37064534551685,1.33311917764215,1.33500878668204,1.32075471698113,1.31061598951507,1.33689839572193,1.33665609424558,1.27355717379101,1.24350243658628,1.32433241332184
"28173","Waxhaw","NC","Charlotte","Union",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.761730039148665,0.731979736951573,0.717481623521892,0.682821749689923,0.680901143241426,0.692067313127193,0.696939454424484,0.710984339510678,0.698879722574227,0.67543547813722,0.696939454424484,0.730888158030216,0.752578453053632
"02128","Boston","MA","Boston","Suffolk",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864307092057922,0.838239997911132,0.879491845063575,0.880131080844414,0.900477556984039,0.877926421404682,0.877926421404682,0.818595927116827,0.789969285240776,0.784034796586627,0.801077743685924,0.842696629213483,0.922849760059062,0.969134769326483,0.949462200751246,1.03096709870389,1.13512010405873,1.15998310577207
"02125","Boston","MA","Boston","Suffolk",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751181057863022,0.774739374926641,0.781625584844128,0.775744723380415,0.775274053884646,0.767386091127098,0.789683364511882,0.795053003533569,0.784313725490196,0.75512405609493,0.758131391787844,0.778654553809645,0.795404485851665,0.796764511608775,0.844339639520362,0.821865443425077,0.84985835694051,0.770880995750464
"11937","East Hampton","NY","New York","Suffolk",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9074074074074,16,15,15,14.0625,13.3333333333333,13.1180451990364,13.6363636363636,14.2857142857143,13.2843137254902,14.8148148148148,15,14.3095238095238,13.3333333333333,13.3333333333333,13.0769230769231,11.875,12.5
"02143","Somerville","MA","Boston","Middlesex",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22092300825354,1.20472290457288,1.19118522930316,1.26806348322428,1.25495376486129,1.03704876504117,1.03054839896945,0.858135252140465,0.854700854700855,0.8955740442965,0.917180103197941,0.942712110224801,0.996157573549414,1.14173045992361,1.31904676688141,1.26842860523328,1.35520684736091
"02145","Somerville","MA","Boston","Middlesex",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0053587489269,1.02093572690415,1.0196905766526,0.85397096498719,0.890437475803329,0.877450908324635,0.931691315723544,0.947368421052632,0.872021789496836,0.86446434084594,0.8649468892261,0.89961413024258,0.931017561977502,0.97020097020097,1.0989010989011
"02144","Somerville","MA","Boston","Middlesex",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939999658342596,0.976257508794221,1.08986615678776,1.05633802816901,0.947605724185077,1.05328707847914,1.01814962372731,1.2,1.08794197642792,1.00415987303085,1.04873534855028,1.01152288233307,1.01719853097169,1.10584518167457,1.3018156903049,1.26480418864352,1.16353998171461,1.09164692216487,1.04669887278583,1.01827963857097,1.01106918070666,1.09686587510624,1.13326447477793,1.11031151579597,1.0919017288444,1.23046592762329,1.31172839506173,1.31648235913639,1.24599501601994,1.26270648030496
"90210","Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3930373618522,4.5303920065093,4.86842105263158,4.90936555891239,4.98440424204616,5.67184234099731,4.99220212102308,5.01448629373746,5.24238495428364,5.44413178137419,5.44413178137419,5.72182858957053,5.53569827026181,5.70218312153796,5.720152537401,5.68696536438472,5.71116782946948,5.7111433938386,5.75053918044572
"11968","Southampton","NY","New York","Suffolk",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7168171866448,12.9285714285714,13.3333333333333,15.625,15.0640220938991,16.6114790286976,16.8571428571429,17.2443818952042,16.6666666666667,16.6666666666667,15.6696428571429,15,15,15,15.3846153846154,15,15.7894736842105,15.7142857142857,16.5876777251185,19.1975427145325,17.1785714285714,16.6666666666667,16.6389811738649,15.922674694977,15.163981618725,14.4775657987812,15.845349389954,15.8629441624365,14.1934058268905,14.6555741983594,14.5067833943628,13.8360182975338,14.0588235294118,14.906069362383,13.1578947368421,12.7659574468085,13.1578947368421
"11963","Noyack","NY","New York","Suffolk",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2162162162162,18.75,17.5,16.6666666666667,14.7727272727273,13.75,13.1176213379974,14.1304347826087,14.1240409207161,14.4822592324403,13.75,13.0588106689987,13.0217391304348,13.7258791961635,12.8424657534247,13.0217391304348,12.8424657534247,12.8960943257185,12.8892709953874
"11976","Water Mill","NY","New York","Suffolk",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2481751824818,16.7507709559854,16.1764705882353,19.0238095238095,17.2873563218391,16.260162601626,15.625,14.6023056720898,14,15.4761904761905,17.6571390006367,15.625,16.4179104477612,17.4585574403531,17.3333333333333,16.015389547932,16.923337282112,15.625,15.0602409638554,15.0630766334024
"11932","Bridgehampton","NY","New York","Suffolk",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1149425287356,16.6666666666667,16.969696969697,16.6666666666667,16.6666666666667,16.6666666666667,16.4705882352941,14.8571428571429,15.625,15.625,15.625,16,16.4523183181233,16.1081081081081,15.9090909090909,14.2857142857143,14.5559203326767,15.2370478983382
"11962","Sagaponack","NY","New York","Suffolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6969696969697,17.1428571428571,18.3766233766234,18.1818181818182,16.7832167832168,16.7249417249417,15.1103500761035,16.6666666666667,16.25,16.7249417249417,16.6666666666667,16.6666666666667,16.6666666666667,17.0714285714286,18.1971153846154,17.4618979882138,16.8916083916084,16.8916083916084,18.125
